Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
928,"Yukan Type 072 landing ship Name: Wufeng Shan/五峰山, Commisioned:1980, Tons:4170, Fleet:East Sea Fleet",Type 072 landing ship,Yukan class,928,Wufeng Shan,五峰山,1980,4170,East Sea Fleet,Active
929,"Yukan Type 072 landing ship Name: Zijin Shan/紫金山, Commisioned:1982, Tons:4170, Fleet:East Sea Fleet",Type 072 landing ship,Yukan class,929,Zijin Shan,紫金山,1982,4170,East Sea Fleet,Active
0,"Yunshu Type 073A landing ship Name: Approx. 10 in service/, Commisioned:2000-2002, Tons:2000, Fleet:Varies",Type 073A landing ship,Yunshu class,,Approx. 10 in service,,2000-2002,2000,Varies,Active
930,"Yuting Type 072II landing ship Name: Lingyan Shan/灵岩山, Commisioned:<1995, Tons:4170, Fleet:East Sea Fleet",Type 072II landing ship,Yuting class,930,Lingyan Shan,灵岩山,<1995,4170,East Sea Fleet,Active
931,"Yuting Type 072II landing ship Name: Dongting Shan/洞庭山, Commisioned:<1995, Tons:4170, Fleet:South Sea Fleet",Type 072II landing ship,Yuting class,931,Dongting Shan,洞庭山,<1995,4170,South Sea Fleet,Active
932,"Yuting Type 072II landing ship Name: Helan Shan/贺兰山, Commisioned:<1995, Tons:4170, Fleet:South Sea Fleet",Type 072II landing ship,Yuting class,932,Helan Shan,贺兰山,<1995,4170,South Sea Fleet,Active
933,"Yuting Type 072II landing ship Name: Liupan Shan/六盘山, Commisioned:1995, Tons:4170, Fleet:South Sea Fleet",Type 072II landing ship,Yuting class,933,Liupan Shan,六盘山,1995,4170,South Sea Fleet,Active
991,"Yuting II Type 072III landing ship Name: Emei Shan/峨眉山, Commisioned:1992, Tons:4800, Fleet:South Sea Fleet",Type 072III landing ship,Yuting II class,991,Emei Shan,峨眉山,1992,4800,South Sea Fleet,Active
934,"Yuting II Type 072III landing ship Name: Danxia Shan/丹霞山, Commisioned:1995, Tons:4800, Fleet:East Sea Fleet",Type 072III landing ship,Yuting II class,934,Danxia Shan,丹霞山,1995,4800,East Sea Fleet,Active
935,"Yuting II Type 072III landing ship Name: Xuefeng Shan/雪峰山, Commisioned:1995, Tons:4800, Fleet:East Sea Fleet",Type 072III landing ship,Yuting II class,935,Xuefeng Shan,雪峰山,1995,4800,East Sea Fleet,Active
936,"Yuting II Type 072III landing ship Name: Haiyang Shan/海洋山, Commisioned:1996, Tons:4800, Fleet:East Sea Fleet",Type 072III landing ship,Yuting II class,936,Haiyang Shan,海洋山,1996,4800,East Sea Fleet,Active
937,"Yuting II Type 072III landing ship Name: Qingcheng Shan/青城山, Commisioned:1996, Tons:4800, Fleet:East Sea Fleet",Type 072III landing ship,Yuting II class,937,Qingcheng Shan,青城山,1996,4800,East Sea Fleet,Active
908,"Yuting II Type 072III landing ship Name: Yandang Shan/雁荡山, Commisioned:1997, Tons:4800, Fleet:North Sea Fleet",Type 072III landing ship,Yuting II class,908,Yandang Shan,雁荡山,1997,4800,North Sea Fleet,Active
909,"Yuting II Type 072III landing ship Name: Jiuhua Shan/九华山, Commisioned:2000, Tons:4800, Fleet:North Sea Fleet",Type 072III landing ship,Yuting II class,909,Jiuhua Shan,九华山,2000,4800,North Sea Fleet,Active
939,"Yuting II Type 072III landing ship Name: Putuo Shan/普陀山, Commisioned:2000, Tons:4800, Fleet:East Sea Fleet",Type 072III landing ship,Yuting II class,939,Putuo Shan,普陀山,2000,4800,East Sea Fleet,Active
910,"Yuting II Type 072III landing ship Name: Huanggang Shan/黄岗山, Commisioned:2001, Tons:4800, Fleet:North Sea Fleet",Type 072III landing ship,Yuting II class,910,Huanggang Shan,黄岗山,2001,4800,North Sea Fleet,Active
