Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
530,"Jiangkai II Type 054A frigate Name: Xuzhou/徐州, Commisioned:2008, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,530,Xuzhou,徐州,2008,4200,East Sea Fleet,Active
529,"Jiangkai II Type 054A frigate Name: Zhoushan/舟山, Commisioned:2008, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,529,Zhoushan,舟山,2008,4200,East Sea Fleet,Active
570,"Jiangkai II Type 054A frigate Name: Huangshan/黄山, Commisioned:2008, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,570,Huangshan,黄山,2008,4200,South Sea Fleet,Active
568,"Jiangkai II Type 054A frigate Name: Hengyang/衡阳, Commisioned:2008, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,568,Hengyang,衡阳,2008,4200,South Sea Fleet,Active
571,"Jiangkai II Type 054A frigate Name: Yuncheng/运城, Commisioned:2010, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,571,Yuncheng,运城,2010,4200,South Sea Fleet,Active
569,"Jiangkai II Type 054A frigate Name: Yulin/玉林, Commisioned:2010, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,569,Yulin,玉林,2010,4200,South Sea Fleet,Active
548,"Jiangkai II Type 054A frigate Name: Yiyang/益阳, Commisioned:2010, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,548,Yiyang,益阳,2010,4200,East Sea Fleet,Active
549,"Jiangkai II Type 054A frigate Name: Changzhou/常州, Commisioned:2011, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,549,Changzhou,常州,2011,4200,East Sea Fleet,Active
538,"Jiangkai II Type 054A frigate Name: Yantai/烟台, Commisioned:2011, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,538,Yantai,烟台,2011,4200,North Sea Fleet,Active
546,"Jiangkai II Type 054A frigate Name: Yancheng/盐城, Commisioned:2012, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,546,Yancheng,盐城,2012,4200,North Sea Fleet,Active
572,"Jiangkai II Type 054A frigate Name: Hengshui/衡水, Commisioned:2012, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,572,Hengshui,衡水,2012,4200,South Sea Fleet,Active
573,"Jiangkai II Type 054A frigate Name: Liuzhou/柳州, Commisioned:2012, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,573,Liuzhou,柳州,2012,4200,South Sea Fleet,Active
547,"Jiangkai II Type 054A frigate Name: Linyi/临沂, Commisioned:2012, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,547,Linyi,临沂,2012,4200,North Sea Fleet,Active
575,"Jiangkai II Type 054A frigate Name: Yueyang/岳阳, Commisioned:2013, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,575,Yueyang,岳阳,2013,4200,South Sea Fleet,Active
550,"Jiangkai II Type 054A frigate Name: Weifang/潍坊, Commisioned:2013, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,550,Weifang,潍坊,2013,4200,North Sea Fleet,Active
574,"Jiangkai II Type 054A frigate Name: Sanya/三亚, Commisioned:2013, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,574,Sanya,三亚,2013,4200,South Sea Fleet,Active
577,"Jiangkai II Type 054A frigate Name: Huanggang/黄冈, Commisioned:2015, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,577,Huanggang,黄冈,2015,4200,East Sea Fleet,Active
576,"Jiangkai II Type 054A frigate Name: Daqing/大庆, Commisioned:2015, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,576,Daqing,大庆,2015,4200,North Sea Fleet,Active
578,"Jiangkai II Type 054A frigate Name: Yangzhou/扬州, Commisioned:2015, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,578,Yangzhou,扬州,2015,4200,East Sea Fleet,Active
579,"Jiangkai II Type 054A frigate Name: Handan/邯郸, Commisioned:2015, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,579,Handan,邯郸,2015,4200,North Sea Fleet,Active
532,"Jiangkai II Type 054A frigate Name: Jingzhou/荆州, Commisioned:2016, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,532,Jingzhou,荆州,2016,4200,East Sea Fleet,Active
531,"Jiangkai II Type 054A frigate Name: Xiangtan/湘潭, Commisioned:2016, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,531,Xiangtan,湘潭,2016,4200,East Sea Fleet,Active
515,"Jiangkai II Type 054A frigate Name: Binzhou/滨州, Commisioned:2016, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,515,Binzhou,滨州,2016,4200,East Sea Fleet,Active
536,"Jiangkai II Type 054A frigate Name: Xuchang/许昌, Commisioned:2017, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,536,Xuchang,许昌,2017,4200,South Sea Fleet,Active
539,"Jiangkai II Type 054A frigate Name: Wuhu/芜湖, Commisioned:2017, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,539,Wuhu,芜湖,2017,4200,North Sea Fleet,Active
598,"Jiangkai II Type 054A frigate Name: Rizhao/日照, Commisioned:2018, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,598,Rizhao,日照,2018,4200,North Sea Fleet,Active
599,"Jiangkai II Type 054A frigate Name: Anyang/安阳, Commisioned:2018, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,599,Anyang,安阳,2018,4200,East Sea Fleet,Active
500,"Jiangkai II Type 054A frigate Name: Xianning/咸宁, Commisioned:2018, Tons:4200, Fleet:South Sea Fleet",Type 054A frigate,Jiangkai II class,500,Xianning,咸宁,2018,4200,South Sea Fleet,Active
601,"Jiangkai II Type 054A frigate Name: Nantong/南通, Commisioned:2019, Tons:4200, Fleet:East Sea Fleet",Type 054A frigate,Jiangkai II class,601,Nantong,南通,2019,4200,East Sea Fleet,Active
542,"Jiangkai II Type 054A frigate Name: Zaozhuang/枣庄, Commisioned:2019, Tons:4200, Fleet:North Sea Fleet",Type 054A frigate,Jiangkai II class,542,Zaozhuang,枣庄,2019,4200,North Sea Fleet,Active
523,"Jiangwei II Type 053H3 frigate Name: Putian/蒲田, Commisioned:1999, Tons:2400, Fleet:East Sea Fleet",Type 053H3 frigate,Jiangwei II class,523,Putian,蒲田,1999,2400,East Sea Fleet,Active
564,"Jiangwei II Type 053H3 frigate Name: Yichang/宜昌, Commisioned:1999, Tons:2400, Fleet:North Sea Fleet",Type 053H3 frigate,Jiangwei II class,564,Yichang,宜昌,1999,2400,North Sea Fleet,Active
565,"Jiangwei II Type 053H3 frigate Name: Huludao/葫芦岛, Commisioned:2000, Tons:2400, Fleet:North Sea Fleet",Type 053H3 frigate,Jiangwei II class,565,Huludao,葫芦岛,2000,2400,North Sea Fleet,Active
524,"Jiangwei II Type 053H3 frigate Name: Sanming/三明, Commisioned:2000, Tons:2400, Fleet:East Sea Fleet",Type 053H3 frigate,Jiangwei II class,524,Sanming,三明,2000,2400,East Sea Fleet,Active
567,"Jiangwei II Type 053H3 frigate Name: Xiangyang/襄阳, Commisioned:2002, Tons:2400, Fleet:East Sea Fleet",Type 053H3 frigate,Jiangwei II class,567,Xiangyang,襄阳,2002,2400,East Sea Fleet,Active
566,"Jiangwei II Type 053H3 frigate Name: Huaihua/怀化, Commisioned:2002, Tons:2400, Fleet:East Sea Fleet",Type 053H3 frigate,Jiangwei II class,566,Huaihua,怀化,2002,2400,East Sea Fleet,Active
527,"Jiangwei II Type 053H3 frigate Name: Luoyang/洛阳, Commisioned:2005, Tons:2400, Fleet:South Sea Fleet",Type 053H3 frigate,Jiangwei II class,527,Luoyang,洛阳,2005,2400,South Sea Fleet,Active
528,"Jiangwei II Type 053H3 frigate Name: Mianyang/绵阳, Commisioned:2005, Tons:2400, Fleet:South Sea Fleet",Type 053H3 frigate,Jiangwei II class,528,Mianyang,绵阳,2005,2400,South Sea Fleet,Active
591,"Jiangdao Type 056 corvette Name: Fushun/抚顺, Commisioned:2014, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,591,Fushun,抚顺,2014,1440,North Sea Fleet,Active
588,"Jiangdao Type 056 corvette Name: Quanzhou/泉州, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,588,Quanzhou,泉州,2014,1440,East Sea Fleet,Active
595,"Jiangdao Type 056 corvette Name: Chaozhou/潮州, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,595,Chaozhou,潮州,2014,1440,East Sea Fleet,Active
503,"Jiangdao Type 056 corvette Name: Suzhou/宿州, Commisioned:2015, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,503,Suzhou,宿州,2015,1440,East Sea Fleet,Active
501,"Jiangdao Type 056 corvette Name: Xinyang/信阳, Commisioned:2015, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,501,Xinyang,信阳,2015,1440,North Sea Fleet,Active
509,"Jiangdao Type 056 corvette Name: Huaian/淮安, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,509,Huaian,淮安,2016,1440,East Sea Fleet,Active
512,"Jiangdao Type 056 corvette Name: Heze/菏泽, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,512,Heze,菏泽,2016,1440,East Sea Fleet,Active
511,"Jiangdao Type 056 corvette Name: Baoding/保定, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,511,Baoding,保定,2016,1440,East Sea Fleet,Active
510,"Jiangdao Type 056 corvette Name: Ningde/宁德, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,510,Ningde,宁德,2016,1440,East Sea Fleet,Active
502,"Jiangdao Type 056A corvette Name: Huangshi/黄石, Commisioned:2015, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,502,Huangshi,黄石,2015,1440,North Sea Fleet,Active
593,"Jiangdao Type 056A corvette Name: Sanmenxia/三门峡, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,593,Sanmenxia,三门峡,2014,1440,East Sea Fleet,Active
594,"Jiangdao Type 056A corvette Name: Zhuzou/株洲, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,594,Zhuzou,株洲,2014,1440,East Sea Fleet,Active
504,"Jiangdao Type 056A corvette Name: Suqian/宿迁, Commisioned:2015, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,504,Suqian,宿迁,2015,1440,South Sea Fleet,Active
505,"Jiangdao Type 056A corvette Name: Qinhuangdao/秦皇岛, Commisioned:2015, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,505,Qinhuangdao,秦皇岛,2015,1440,North Sea Fleet,Active
506,"Jiangdao Type 056A corvette Name: Jingmen/荆门, Commisioned:2016, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,506,Jingmen,荆门,2016,1440,South Sea Fleet,Active
507,"Jiangdao Type 056A corvette Name: Tongren/铜仁, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,507,Tongren,铜仁,2016,1440,East Sea Fleet,Active
508,"Jiangdao Type 056A corvette Name: Qujing/曲靖, Commisioned:2016, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,508,Qujing,曲靖,2016,1440,South Sea Fleet,Active
513,"Jiangdao Type 056A corvette Name: Ezhou/鄂州, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,513,Ezhou,鄂州,2017,1440,East Sea Fleet,Active
514,"Jiangdao Type 056A corvette Name: Liupanshui/六盘水, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,514,Liupanshui,六盘水,2017,1440,South Sea Fleet,Active
520,"Jiangdao Type 056A corvette Name: Hanzhong/汉中, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,520,Hanzhong,汉中,2017,1440,South Sea Fleet,Active
518,"Jiangdao Type 056A corvette Name: Yiwu/义乌, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,518,Yiwu,义乌,2017,1440,East Sea Fleet,Active
535,"Jiangdao Type 056A corvette Name: Xuancheng/宣城, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,535,Xuancheng,宣城,2017,1440,East Sea Fleet,Active
556,"Jiangdao Type 056A corvette Name: Yichun/宜春, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,556,Yichun,宜春,2017,1440,East Sea Fleet,Active
552,"Jiangdao Type 056A corvette Name: Guangyuan/广元, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,552,Guangyuan,广元,2017,1440,South Sea Fleet,Active
551,"Jiangdao Type 056A corvette Name: Suining/遂宁, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,551,Suining,遂宁,2017,1440,South Sea Fleet,Active
540,"Jiangdao Type 056A corvette Name: Wuhai/乌海, Commisioned:2018, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,540,Wuhai,乌海,2018,1440,North Sea Fleet,Active
541,"Jiangdao Type 056A corvette Name: Zhangye/张掖, Commisioned:2018, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,541,Zhangye,张掖,2018,1440,North Sea Fleet,Active
554,"Jiangdao Type 056A corvette Name: Deyang/德阳, Commisioned:2018, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,554,Deyang,德阳,2018,1440,East Sea Fleet,Active
557,"Jiangdao Type 056A corvette Name: Nanchong/南充, Commisioned:2018, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,557,Nanchong,南充,2018,1440,South Sea Fleet,Active
582,"Jiangdao Type 056 corvette Name: Bengbu/蚌埠, Commisioned:2013, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,582,Bengbu,蚌埠,2013,1440,East Sea Fleet,Active
580,"Jiangdao Type 056 corvette Name: Datong/大同, Commisioned:2013, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,580,Datong,大同,2013,1440,North Sea Fleet,Active
583,"Jiangdao Type 056 corvette Name: Shangrao/上饶, Commisioned:2013, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,583,Shangrao,上饶,2013,1440,East Sea Fleet,Active
596,"Jiangdao Type 056 corvette Name: Huizhou/惠州, Commisioned:2013, Tons:1440, Fleet:Hong Kong",Type 056 corvette,Jiangdao class,596,Huizhou,惠州,2013,1440,Hong Kong,Active
597,"Jiangdao Type 056 corvette Name: Qinzhou/钦州, Commisioned:2013, Tons:1440, Fleet:Hong Kong",Type 056 corvette,Jiangdao class,597,Qinzhou,钦州,2013,1440,Hong Kong,Active
584,"Jiangdao Type 056 corvette Name: Meizhou/梅州, Commisioned:2013, Tons:1440, Fleet:South Sea Fleet",Type 056 corvette,Jiangdao class,584,Meizhou,梅州,2013,1440,South Sea Fleet,Active
581,"Jiangdao Type 056 corvette Name: Yingkou/营口, Commisioned:2013, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,581,Yingkou,营口,2013,1440,North Sea Fleet,Active
585,"Jiangdao Type 056 corvette Name: Baise/百色, Commisioned:2013, Tons:1440, Fleet:South Sea Fleet",Type 056 corvette,Jiangdao class,585,Baise,百色,2013,1440,South Sea Fleet,Active
586,"Jiangdao Type 056 corvette Name: Ji'an/吉安, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,586,Ji'an,吉安,2014,1440,East Sea Fleet,Active
587,"Jiangdao Type 056 corvette Name: Jieyang/揭阳, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,587,Jieyang,揭阳,2014,1440,East Sea Fleet,Active
590,"Jiangdao Type 056 corvette Name: Weihai/威海, Commisioned:2014, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,590,Weihai,威海,2014,1440,North Sea Fleet,Active
592,"Jiangdao Type 056 corvette Name: Luzhou/泸州, Commisioned:2014, Tons:1440, Fleet:South Sea Fleet",Type 056 corvette,Jiangdao class,592,Luzhou,泸州,2014,1440,South Sea Fleet,Active
589,"Jiangdao Type 056 corvette Name: Qingyuan/清远, Commisioned:2014, Tons:1440, Fleet:South Sea Fleet",Type 056 corvette,Jiangdao class,589,Qingyuan,清远,2014,1440,South Sea Fleet,Active
591,"Jiangdao Type 056 corvette Name: Fushun/抚顺, Commisioned:2014, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,591,Fushun,抚顺,2014,1440,North Sea Fleet,Active
588,"Jiangdao Type 056 corvette Name: Quanzhou/泉州, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,588,Quanzhou,泉州,2014,1440,East Sea Fleet,Active
595,"Jiangdao Type 056 corvette Name: Chaozhou/潮州, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,595,Chaozhou,潮州,2014,1440,East Sea Fleet,Active
503,"Jiangdao Type 056 corvette Name: Suzhou/宿州, Commisioned:2015, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,503,Suzhou,宿州,2015,1440,East Sea Fleet,Active
501,"Jiangdao Type 056 corvette Name: Xinyang/信阳, Commisioned:2015, Tons:1440, Fleet:North Sea Fleet",Type 056 corvette,Jiangdao class,501,Xinyang,信阳,2015,1440,North Sea Fleet,Active
509,"Jiangdao Type 056 corvette Name: Huaian/淮安, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,509,Huaian,淮安,2016,1440,East Sea Fleet,Active
512,"Jiangdao Type 056 corvette Name: Heze/菏泽, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,512,Heze,菏泽,2016,1440,East Sea Fleet,Active
511,"Jiangdao Type 056 corvette Name: Baoding/保定, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,511,Baoding,保定,2016,1440,East Sea Fleet,Active
510,"Jiangdao Type 056 corvette Name: Ningde/宁德, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056 corvette,Jiangdao class,510,Ningde,宁德,2016,1440,East Sea Fleet,Active
502,"Jiangdao Type 056A corvette Name: Huangshi/黄石, Commisioned:2015, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,502,Huangshi,黄石,2015,1440,North Sea Fleet,Active
593,"Jiangdao Type 056A corvette Name: Sanmenxia/三门峡, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,593,Sanmenxia,三门峡,2014,1440,East Sea Fleet,Active
594,"Jiangdao Type 056A corvette Name: Zhuzou/株洲, Commisioned:2014, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,594,Zhuzou,株洲,2014,1440,East Sea Fleet,Active
504,"Jiangdao Type 056A corvette Name: Suqian/宿迁, Commisioned:2015, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,504,Suqian,宿迁,2015,1440,South Sea Fleet,Active
505,"Jiangdao Type 056A corvette Name: Qinhuangdao/秦皇岛, Commisioned:2015, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,505,Qinhuangdao,秦皇岛,2015,1440,North Sea Fleet,Active
506,"Jiangdao Type 056A corvette Name: Jingmen/荆门, Commisioned:2016, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,506,Jingmen,荆门,2016,1440,South Sea Fleet,Active
507,"Jiangdao Type 056A corvette Name: Tongren/铜仁, Commisioned:2016, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,507,Tongren,铜仁,2016,1440,East Sea Fleet,Active
508,"Jiangdao Type 056A corvette Name: Qujing/曲靖, Commisioned:2016, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,508,Qujing,曲靖,2016,1440,South Sea Fleet,Active
513,"Jiangdao Type 056A corvette Name: Ezhou/鄂州, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,513,Ezhou,鄂州,2017,1440,East Sea Fleet,Active
514,"Jiangdao Type 056A corvette Name: Liupanshui/六盘水, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,514,Liupanshui,六盘水,2017,1440,South Sea Fleet,Active
520,"Jiangdao Type 056A corvette Name: Hanzhong/汉中, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,520,Hanzhong,汉中,2017,1440,South Sea Fleet,Active
518,"Jiangdao Type 056A corvette Name: Yiwu/义乌, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,518,Yiwu,义乌,2017,1440,East Sea Fleet,Active
535,"Jiangdao Type 056A corvette Name: Xuancheng/宣城, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,535,Xuancheng,宣城,2017,1440,East Sea Fleet,Active
556,"Jiangdao Type 056A corvette Name: Yichun/宜春, Commisioned:2017, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,556,Yichun,宜春,2017,1440,East Sea Fleet,Active
552,"Jiangdao Type 056A corvette Name: Guangyuan/广元, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,552,Guangyuan,广元,2017,1440,South Sea Fleet,Active
551,"Jiangdao Type 056A corvette Name: Suining/遂宁, Commisioned:2017, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,551,Suining,遂宁,2017,1440,South Sea Fleet,Active
540,"Jiangdao Type 056A corvette Name: Wuhai/乌海, Commisioned:2018, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,540,Wuhai,乌海,2018,1440,North Sea Fleet,Active
541,"Jiangdao Type 056A corvette Name: Zhangye/张掖, Commisioned:2018, Tons:1440, Fleet:North Sea Fleet",Type 056A corvette,Jiangdao class,541,Zhangye,张掖,2018,1440,North Sea Fleet,Active
554,"Jiangdao Type 056A corvette Name: Deyang/德阳, Commisioned:2018, Tons:1440, Fleet:East Sea Fleet",Type 056A corvette,Jiangdao class,554,Deyang,德阳,2018,1440,East Sea Fleet,Active
557,"Jiangdao Type 056A corvette Name: Nanchong/南充, Commisioned:2018, Tons:1440, Fleet:South Sea Fleet",Type 056A corvette,Jiangdao class,557,Nanchong,南充,2018,1440,South Sea Fleet,Active
0,"Houbei Type 22 missile boat Name: Approx. 60 in service/, Commisioned:2004-, Tons:220, Fleet:Varies",Type 22 missile boat,Houbei class,,Approx. 60 in service,,2004-,220,Varies,Active
0,"Houxin Type 037IG missile boat Name: Approx. 9 in service/, Commisioned:1991-1999, Tons:478, Fleet:Varies",Type 037IG missile boat,Houxin class,,Approx. 9 in service,,1991-1999,478,Varies,Active
770,"Houjian Type 037II missile boat Name: Yangjiang/阳江, Commisioned:1991, Tons:520, Fleet:Hong Kong",Type 037II missile boat,Houjian class,770,Yangjiang,阳江,1991,520,Hong Kong,Active
771,"Houjian Type 037II missile boat Name: Shunde/顺德, Commisioned:1995, Tons:520, Fleet:Hong Kong",Type 037II missile boat,Houjian class,771,Shunde,顺德,1995,520,Hong Kong,Active
772,"Houjian Type 037II missile boat Name: Nanhai/南海, Commisioned:1995, Tons:520, Fleet:Hong Kong",Type 037II missile boat,Houjian class,772,Nanhai,南海,1995,520,Hong Kong,Active
773,"Houjian Type 037II missile boat Name: Panyu/番禹, Commisioned:1995, Tons:520, Fleet:Hong Kong",Type 037II missile boat,Houjian class,773,Panyu,番禹,1995,520,Hong Kong,Active
774,"Houjian Type 037II missile boat Name: Lianjiang/廉江, Commisioned:1999, Tons:520, Fleet:Hong Kong",Type 037II missile boat,Houjian class,774,Lianjiang,廉江,1999,520,Hong Kong,Active
775,"Houjian Type 037II missile boat Name: Xinhui/新会, Commisioned:1999, Tons:520, Fleet:Hong Kong",Type 037II missile boat,Houjian class,775,Xinhui,新会,1999,520,Hong Kong,Active
0,"Haiqing Type 037IS submarine chaser Name: Approx. 8 in service/, Commisioned:1982-, Tons:478, Fleet:Varies",Type 037IS submarine chaser,Haiqing class,,Approx. 8 in service,,1982-,478,Varies,Active
0,"Shanghai III Type 062I gunboat Name: Approx. 17 in service/, Commisioned:1988-, Tons:170, Fleet:Varies",Type 062I gunboat,Shanghai III class,,Approx. 17 in service,,1988-,170,Varies,Active
0,"Wochi Type 081 mine countermeasure vessel Name: Approx. 12 in service/, Commisioned:2007-, Tons:1200, Fleet:Varies",Type 081 mine countermeasure vessel,Wochi class,,Approx. 12 in service,,2007-,1200,Varies,Active
0,"Wosao Type 082 mine countermeasure vessel Name: Approx. 16 in service/, Commisioned:1988-1990s, Tons:400, Fleet:Varies",Type 082 mine countermeasure vessel,Wosao class,,Approx. 16 in service,,1988-1990s,400,Varies,Active
804,"Wozang Type 082II mine countermeasure vessel Name: Huoqiu/霍邱, Commisioned:2005, Tons:575, Fleet:Varies",Type 082II mine countermeasure vessel,Wozang class,804,Huoqiu,霍邱,2005,575,Varies,Active
818,"Wozang Type 082II mine countermeasure vessel Name: Kunshan/昆山, Commisioned:2011, Tons:575, Fleet:Varies",Type 082II mine countermeasure vessel,Wozang class,818,Kunshan,昆山,2011,575,Varies,Active
811,"Wozang Type 082II mine countermeasure vessel Name: Rongcheng/荣城, Commisioned:2016, Tons:575, Fleet:Varies",Type 082II mine countermeasure vessel,Wozang class,811,Rongcheng,荣城,2016,575,Varies,Active
814,"Wozang Type 082II mine countermeasure vessel Name: Donggang/东港, Commisioned:2016, Tons:575, Fleet:Varies",Type 082II mine countermeasure vessel,Wozang class,814,Donggang,东港,2016,575,Varies,Active
808,"Wozang Type 082II mine countermeasure vessel Name: Rudong/如东, Commisioned:2017, Tons:575, Fleet:Varies",Type 082II mine countermeasure vessel,Wozang class,808,Rudong,如东,2017,575,Varies,Active
965," Type 901 fast combat support ship Name: Hulun Lake/呼伦湖, Commisioned:2017, Tons:45000, Fleet:Varies",Type 901 fast combat support ship,,965,Hulun Lake,呼伦湖,2017,45000,Varies,Active
967," Type 901 fast combat support ship Name: Chagan Lake/查干湖, Commisioned:2018, Tons:45000, Fleet:Varies",Type 901 fast combat support ship,,967,Chagan Lake,查干湖,2018,45000,Varies,Active
962,"Dayun Type 904B general stores issue ship Name: Lugu Lake/泸沽湖, Commisioned:2015, Tons:15000, Fleet:South Sea Fleet",Type 904B general stores issue ship,Dayun class,962,Lugu Lake,泸沽湖,2015,15000,South Sea Fleet,Active
